Time,EdgeID,Speed,Occupancy
14.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
14.0,111782596#2,12.529011083039853,0.07597007947639084
14.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
14.0,375012288#1,13.41,0.0
15.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
15.0,111782596#2,11.780076952527887,0.07597007947639084
15.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
15.0,375012288#1,13.41,0.0
16.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
16.0,111782596#2,10.761330545989479,0.07597007947639084
16.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
16.0,375012288#1,13.41,0.0
17.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
17.0,111782596#2,9.658152514828965,0.07597007947639084
17.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
17.0,375012288#1,13.41,0.0
18.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
18.0,111782596#2,7.895683760878865,0.07597007947639084
18.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
18.0,375012288#1,13.41,0.0
19.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
19.0,111782596#2,6.278648870634803,0.07597007947639084
19.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
19.0,375012288#1,13.41,0.0
20.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
20.0,111782596#2,4.875249922773999,0.07597007947639084
20.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
20.0,375012288#1,13.41,0.0
21.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
21.0,111782596#2,4.724557856943945,0.07597007947639084
21.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
21.0,375012288#1,13.41,0.0
22.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
22.0,111782596#2,4.514689464801129,0.07597007947639084
22.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
22.0,375012288#1,13.41,0.0
23.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
23.0,111782596#2,4.483837434232377,0.07597007947639084
23.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
23.0,375012288#1,13.41,0.0
24.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
24.0,111782596#2,4.476424161996508,0.07597007947639084
24.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
24.0,375012288#1,13.41,0.0
25.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
25.0,111782596#2,4.47064611658074,0.07597007947639084
25.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
25.0,375012288#1,13.41,0.0
26.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
26.0,111782596#2,4.47015810482734,0.07597007947639084
26.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
26.0,375012288#1,13.41,0.0
27.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
27.0,111782596#2,0.0,0.10518934081346423
27.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
27.0,375012288#1,13.41,0.0
28.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
28.0,111782596#2,0.43920756987505555,0.10518934081346423
28.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
28.0,375012288#1,13.41,0.0
29.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
29.0,111782596#2,4.152251044233562,0.10518934081346423
29.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
29.0,375012288#1,13.41,0.0
30.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
