Time,EdgeID,Speed,Occupancy
77.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
77.0,375012288#5,11.121529010277328,0.07766387076731905
77.0,425002736#1,12.970631634282356,0.03247592068475788
77.0,-117446409#3,11.18,0.0
77.0,-117446409#4,11.18,0.0
77.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
77.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,5.687001703299864,0.027169215659041807
77.0,111782596#2,10.488525757642929,0.029219261337073397
77.0,:cluster_49555756_9005168266_3,13.41,0.0
77.0,130451981#3,13.41,0.018989328420918255
77.0,130451981#2,13.41,0.0
77.0,375012288#0,13.41,0.0
77.0,399093877#1,13.41,0.0
77.0,455277311#1,10.308694108736011,0.1260824055571415
77.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,0.0
77.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,6.95,0.0
77.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.0
77.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
77.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,14.174950488217599,0.1902389694888169
77.0,947448834#1,13.41,0.0
78.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.41,0.0
78.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
78.0,375012288#1,13.41,0.0
78.0,-117446409#2,9.143377535806893,0.1487652484379649
78.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
78.0,375012288#5,10.786120159837557,0.07766387076731905
78.0,425002736#1,12.983339172196473,0.11475833769638828
78.0,-117446409#3,11.18,0.0
78.0,-117446409#4,11.18,0.0
78.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
78.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,7.329543631889209,0.15959144589849986
78.0,111782596#2,11.667416222842876,0.029219261337073397
78.0,:cluster_49555756_9005168266_3,13.41,0.0
78.0,130451981#3,13.41,0.0
78.0,130451981#2,13.41,0.0
78.0,375012288#0,13.330074267295704,0.03660431277040486
78.0,399093877#1,13.41,0.0
78.0,455277311#1,11.611682598390136,0.10957141698101071
78.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,0.0
78.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,6.95,0.0
78.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.0
